hotel_id,city_id,name,category,star_rating,price_per_night_inr,amenities,nearest_attraction,user_rating
H0241,41,Maple Inn Vadodara,Budget,2,1786,"wifi,breakfast,spa,pool",Vadodara Fort,3.7
H0242,41,Regal Residency Vadodara,Budget,3,1517,"wifi,breakfast,spa,pool",Vadodara Fort,4.6
H0243,41,Oak Resort Vadodara,Mid,4,6822,"wifi,breakfast,play_area,pool",Vadodara Fort,4.9
H0244,41,Blue Lagoon Inn Vadodara,Mid,3,7253,"wifi,breakfast,conference_room,parking",Vadodara Viewpoint,3.7
H0245,41,Golden Retreat Vadodara,Luxury,4,14068,"wifi,breakfast,play_area,pool",Vadodara Fort,3.9
H0246,41,Regal Resort Vadodara,Luxury,4,18555,"wifi,breakfast,conference_room,parking",Vadodara Viewpoint,3.5
H0247,42,Lotus Inn Surat,Budget,3,1447,"wifi,breakfast,spa,pool",Surat Heritage Site,4.3
H0248,42,Sunrise Lodge Surat,Budget,2,1535,"wifi,breakfast,parking",Surat Heritage Site,3.5
H0249,42,Silver Retreat Surat,Mid,4,6486,"wifi,breakfast,conference_room,parking",Surat Garden,4.0
H0250,42,Hillview Retreat Surat,Mid,4,7363,"wifi,breakfast,play_area,pool",Surat Heritage Site,4.6
H0251,42,Grand Hotel Surat,Luxury,4,20637,"wifi,breakfast,pool,parking",Surat Heritage Site,4.1
H0252,42,Golden Retreat Surat,Luxury,4,21192,"wifi,breakfast,play_area,pool",Surat Heritage Site,4.0
H0253,43,Palm Residency Jodhpur,Budget,3,2474,"wifi,breakfast,play_area,pool",Jodhpur Market,4.9
H0254,43,Emerald Lodge Jodhpur,Budget,2,1557,"wifi,breakfast,play_area,pool",Jodhpur Market,4.9
H0255,43,Emerald Suites Jodhpur,Mid,3,5854,"wifi,breakfast,play_area,pool",Jodhpur Temple,4.2
H0256,43,Sunrise Palace Jodhpur,Mid,3,5494,"wifi,breakfast,conference_room,parking",Jodhpur Heritage Site,4.8
H0257,43,Emerald Retreat Jodhpur,Luxury,4,10251,"wifi,breakfast,spa,pool",Jodhpur Heritage Site,4.9
H0258,43,Oak Inn Jodhpur,Luxury,5,20845,"wifi,breakfast,parking",Jodhpur Garden,3.0
H0259,44,Royal Hotel Bhubaneswar,Budget,3,1244,"wifi,breakfast,spa,pool",Bhubaneswar Heritage Site,3.6
H0260,44,Heritage Lodge Bhubaneswar,Budget,3,1643,"wifi,breakfast,parking",Bhubaneswar Fort,4.2
H0261,44,Hillview Palace Bhubaneswar,Mid,3,7208,"wifi,breakfast,gym,parking",Bhubaneswar Fort,3.6
H0262,44,Hillview Retreat Bhubaneswar,Mid,4,5689,"wifi,breakfast,play_area,pool",Bhubaneswar Fort,4.8
H0263,44,Golden Suites Bhubaneswar,Luxury,5,15614,"wifi,breakfast,play_area,pool",Bhubaneswar Heritage Site,3.4
H0264,44,Grand Lodge Bhubaneswar,Luxury,5,23677,"wifi,breakfast,spa,pool",Bhubaneswar Temple,4.9
H0265,45,Grand Lodge Manali,Budget,3,1665,"wifi,breakfast,spa,pool",Manali Heritage Site,3.7
H0266,45,Regal Resort Manali,Budget,2,1653,"wifi,breakfast,spa,pool",Manali Heritage Site,3.8
H0267,45,Blue Lagoon Hotel Manali,Mid,3,3568,"wifi,breakfast,gym,parking",Manali Heritage Site,3.5
H0268,45,Sunrise Hotel Manali,Mid,3,3471,"wifi,breakfast,play_area,pool",Manali Heritage Site,4.2
H0269,45,Blue Lagoon Hotel Manali,Luxury,4,9165,"wifi,breakfast,parking",Manali Viewpoint,3.2
H0270,45,Grand Residency Manali,Luxury,4,10892,"wifi,breakfast,parking",Manali Viewpoint,3.2
H0271,46,Oak Inn Gulmarg,Budget,2,2648,"wifi,breakfast,play_area,pool",Gulmarg Fort,3.9
H0272,46,Maple Residency Gulmarg,Budget,3,2245,"wifi,breakfast,play_area,pool",Gulmarg Viewpoint,3.7
H0273,46,Heritage Resort Gulmarg,Mid,4,5458,"wifi,breakfast,parking",Gulmarg Fort,3.3
H0274,46,Sunrise Plaza Gulmarg,Mid,3,5889,"wifi,breakfast,pool,parking",Gulmarg Heritage Site,3.4
H0275,46,Golden Resort Gulmarg,Luxury,4,24450,"wifi,breakfast,play_area,pool",Gulmarg Garden,4.8
H0276,46,Lotus Hotel Gulmarg,Luxury,4,11126,"wifi,breakfast,play_area,pool",Gulmarg Viewpoint,4.1
H0277,47,Grand Inn Vadodara,Budget,2,1797,"wifi,breakfast,play_area,pool",Vadodara Fort,4.0
H0278,47,Oak Suites Vadodara,Budget,3,1810,"wifi,breakfast,pool,parking",Vadodara Fort,3.5
H0279,47,Emerald Lodge Vadodara,Mid,4,6007,"wifi,breakfast,pool,parking",Vadodara Temple,4.3
H0280,47,Palm Residency Vadodara,Mid,4,3044,"wifi,breakfast,spa,pool",Vadodara Fort,4.4
H0281,47,Maple Inn Vadodara,Luxury,5,9020,"wifi,breakfast,conference_room,parking",Vadodara Temple,3.2
H0282,47,Emerald Lodge Vadodara,Luxury,4,14942,"wifi,breakfast,parking",Vadodara Market,4.0
H0283,48,Heritage Resort Kullu,Budget,3,2282,"wifi,breakfast,spa,pool",Kullu Viewpoint,3.2
H0284,48,Oak Resort Kullu,Budget,3,2498,"wifi,breakfast,pool,parking",Kullu Garden,4.3
H0285,48,Serene Resort Kullu,Mid,3,5059,"wifi,breakfast,spa,pool",Kullu Garden,4.2
H0286,48,Heritage Retreat Kullu,Mid,4,3783,"wifi,breakfast,gym,parking",Kullu Market,3.8
H0287,48,Heritage Suites Kullu,Luxury,4,21930,"wifi,breakfast,play_area,pool",Kullu Garden,3.5
H0288,48,Maple Residency Kullu,Luxury,4,16501,"wifi,breakfast,conference_room,parking",Kullu Garden,4.3
H0289,49,Emerald Suites Leh,Budget,2,1255,"wifi,breakfast,gym,parking",Leh Fort,4.4
H0290,49,Silver Resort Leh,Budget,3,2695,"wifi,breakfast,parking",Leh Fort,3.7
H0291,49,Oak Resort Leh,Mid,3,6584,"wifi,breakfast,play_area,pool",Leh Fort,4.6
H0292,49,Palm Hotel Leh,Mid,3,6528,"wifi,breakfast,play_area,pool",Leh Heritage Site,3.1
H0293,49,Grand Hotel Leh,Luxury,5,11600,"wifi,breakfast,play_area,pool",Leh Fort,4.1
H0294,49,Emerald Hotel Leh,Luxury,4,23878,"wifi,breakfast,conference_room,parking",Leh Heritage Site,5.0
H0295,50,Maple Plaza Mahabaleshwar,Budget,2,1355,"wifi,breakfast,pool,parking",Mahabaleshwar Garden,3.7
H0296,50,Hillview Palace Mahabaleshwar,Budget,2,2590,"wifi,breakfast,spa,pool",Mahabaleshwar Temple,3.1
H0297,50,Lotus Residency Mahabaleshwar,Mid,4,4889,"wifi,breakfast,spa,pool",Mahabaleshwar Fort,4.8
H0298,50,Blue Lagoon Plaza Mahabaleshwar,Mid,3,4792,"wifi,breakfast,play_area,pool",Mahabaleshwar Fort,3.0
H0299,50,Royal Hotel Mahabaleshwar,Luxury,4,17204,"wifi,breakfast,parking",Mahabaleshwar Temple,3.7
H0300,50,Lotus Lodge Mahabaleshwar,Luxury,5,18300,"wifi,breakfast,conference_room,parking",Mahabaleshwar Temple,4.9
